stn;time;rre150d0
CDF;19010218;0.2
CDF;19010219;0.2
CDF;19010220;0.0
CDF;19010221;0.0
CDF;19010222;0.0
CDF;19010223;0.1
CDF;19010224;0.0
CDF;19010225;0.0
CDF;19010226;0.0
CDF;19010227;0.6
CDF;19010228;4.5
CDF;19010301;4.8
CDF;19010302;11.4
CDF;19010303;9.8
CDF;19010304;9.4
CDF;19010305;11.3
CDF;19010306;11.5
CDF;19010307;0.6
CDF;19010308;0.0
CDF;19010309;0.1
CDF;19010310;0.3
CDF;19010311;2.4
CDF;19010312;3.6
CDF;19010313;0.0
CDF;19010314;0.1
CDF;19010315;0.9
CDF;19010316;2.1
CDF;19010317;1.3
CDF;19010318;0.4
CDF;19010319;0.0
CDF;19010320;16.8
CDF;19010321;3.6
CDF;19010322;0.8
CDF;19010323;0.6
CDF;19010324;0.1
CDF;19010325;0.0
CDF;19010326;4.0
CDF;19010327;3.2
CDF;19010328;1.8
CDF;19010329;0.2
CDF;19010330;0.0
CDF;19010331;1.5
CDF;19010401;11.8
CDF;19010402;0.0
CDF;19010403;0.6
CDF;19010404;8.8
CDF;19010405;48.4
CDF;19010406;11.4
CDF;19010407;47.0
CDF;19010408;2.5
CDF;19010409;34.5
CDF;19010410;9.6
CDF;19010411;8.3
CDF;19010412;5.2
CDF;19010413;8.9
CDF;19010414;27.7
CDF;19010415;18.7
CDF;19010416;11.4
CDF;19010417;5.5
CDF;19010418;0.0
CDF;19010419;0.0
CDF;19010420;0.0
CDF;19010421;0.0
CDF;19010422;0.0
CDF;19010423;0.0
CDF;19010424;0.0
CDF;19010425;0.0
CDF;19010426;7.9
CDF;19010427;10.1
CDF;19010428;1.4
CDF;19010429;7.4
CDF;19010430;1.6
CDF;19010501;0.0
CDF;19010502;0.1
CDF;19010503;2.4
CDF;19010504;0.0
CDF;19010505;0.0
CDF;19010506;12.2
CDF;19010507;4.3
CDF;19010508;3.2
CDF;19010509;0.0
CDF;19010510;4.4
CDF;19010511;0.2
CDF;19010512;0.1
CDF;19010513;0.0
CDF;19010514;0.0
CDF;19010515;0.0
CDF;19010516;0.5
CDF;19010517;0.1
CDF;19010518;0.0
CDF;19010519;0.0
CDF;19010520;0.0
CDF;19010521;0.0
CDF;19010522;0.0
CDF;19010523;0.2
CDF;19010524;0.0
CDF;19010525;1.9
CDF;19010526;10.4
CDF;19010527;0.3
CDF;19010528;0.0
CDF;19010529;0.5
CDF;19010530;1.5
CDF;19010531;0.0
CDF;19010601;0.2
CDF;19010602;22.0
CDF;19010603;1.0
CDF;19010604;4.1
CDF;19010605;0.0
CDF;19010606;0.0
CDF;19010607;0.0
CDF;19010608;5.8
CDF;19010609;46.0
CDF;19010610;6.2
CDF;19010611;0.0
CDF;19010612;0.0
CDF;19010613;2.0
CDF;19010614;31.1
CDF;19010615;20.0
CDF;19010616;2.8
CDF;19010617;16.0
CDF;19010618;9.8
CDF;19010619;0.0
CDF;19010620;0.0
CDF;19010621;0.0
CDF;19010622;0.0
CDF;19010623;0.0
CDF;19010624;3.9
CDF;19010625;0.0
CDF;19010626;0.0
CDF;19010627;0.0
CDF;19010628;4.0
CDF;19010629;7.9
CDF;19010630;7.4
CDF;19010701;1.2
CDF;19010702;7.2
CDF;19010703;2.3
CDF;19010704;1.8
CDF;19010705;0.5
CDF;19010706;0.1
CDF;19010707;0.0
CDF;19010708;6.3
CDF;19010709;0.0
CDF;19010710;0.0
CDF;19010711;0.0
CDF;19010712;0.0
CDF;19010713;0.0
CDF;19010714;0.0
CDF;19010715;0.0
CDF;19010716;0.0
CDF;19010717;0.0
CDF;19010718;0.0
CDF;19010719;0.0
CDF;19010720;0.0
CDF;19010721;6.1
CDF;19010722;11.1
CDF;19010723;1.1
CDF;19010724;5.9
CDF;19010725;8.9
CDF;19010726;0.0
CDF;19010727;5.0
CDF;19010728;31.7
CDF;19010729;13.5
CDF;19010730;0.0
CDF;19010731;23.2
CDF;19010801;33.4
CDF;19010802;20.5
CDF;19010803;0.0
CDF;19010804;0.0
CDF;19010805;0.0
CDF;19010806;6.5
CDF;19010807;0.0
CDF;19010808;0.0
CDF;19010809;0.0
CDF;19010810;0.0
CDF;19010811;14.1
CDF;19010812;18.3
CDF;19010813;0.1
CDF;19010814;0.2
CDF;19010815;6.8
CDF;19010816;0.8
CDF;19010817;0.0
CDF;19010818;0.0
CDF;19010819;0.0
CDF;19010820;0.0
CDF;19010821;0.0
CDF;19010822;0.0
CDF;19010823;0.0
CDF;19010824;0.0
CDF;19010825;21.2
CDF;19010826;9.6
CDF;19010827;0.1
CDF;19010828;8.7
CDF;19010829;0.0
CDF;19010830;0.0
CDF;19010831;0.0
CDF;19010901;33.3
CDF;19010902;1.9
CDF;19010903;13.4
CDF;19010904;11.3
CDF;19010905;0.5
CDF;19010906;20.5
CDF;19010907;0.0
CDF;19010908;0.0
